country;Region;Surface area (km2);Population in thousands (2017);Population density (per km2, 2017);Sex ratio (m per 100 f, 2017);GDP: Gross domestic product (million current US$);GDP growth rate (annual %, const. 2005 prices);GDP per capita (current US$);Economy: Agriculture (% of GVA);Economy: Industry (% of GVA);Economy: Services and other activity (% of GVA);Employment: Agriculture (% of employed);Employment: Industry (% of employed);Employment: Services (% of employed);Unemployment (% of labour force);Labour force participation (female/male pop. %);Agricultural production index (2004-2006=100);Food production index (2004-2006=100);International trade: Exports (million US$);International trade: Imports (million US$);International trade: Balance (million US$);Balance of payments, current account (million US$);Population growth rate (average annual %);Urban population (% of total population);Urban population growth rate (average annual %);Fertility rate, total (live births per woman);Life expectancy at birth (females/males, years);Population age distribution (0-14 / 60+ years, %);International migrant stock (000/% of total pop.);Refugees and others of concern to UNHCR (in thousands);Infant mortality rate (per 1000 live births;Health: Total expenditure (% of GDP);Health: Physicians (per 1000 pop.);Education: Government expenditure (% of GDP);Education: Primary gross enrol. ratio (f/m per 100 pop.);Education: Secondary gross enrol. ratio (f/m per 100 pop.);Education: Tertiary gross enrol. ratio (f/m per 100 pop.);Seats held by women in national parliaments %;Mobile-cellular subscriptions (per 100 inhabitants);Individuals using the Internet (per 100 inhabitants);Threatened species (number);Forested area (% of land area);CO2 emission estimates (million tons/tons per capita);Energy production, primary (Petajoules);Energy supply per capita (Gigajoules);Pop. using improved drinking water (urban/rural, %);Pop. using improved sanitation facilities (urban/rural, %);Net Official Development Assist. received (% of GNI);;
Lithuania;NorthernEurope;65286;2890;46.1;85.4;41402;44409;14383.7;44350;44437;66.5;44385;44340;66.8;44236;54.1/66.1;125;125;25025;27501;-2476;-977;-1.3;66.5;-0.5;44348;79.3/68.5;14.8/25.3;136.0/4.7;44381;44290;44353;44259;44351;103.7/103.2;106.1/110.3;82.0/55.8;44276;139.5;71.4;26;34.8;12.8/4.4;74;98;99.7/90.4;97.2/82.8;-99;;
Luxembourg;WesternEurope;2586;584;225.3;101.0;56802;44319;100160.8;0.2;44208;87.7;44256;44237;88.5;44352;52.0/65.5;98;98;12838;19124;-6285;2962;44229;90.2;44378;44317;83.4/78.8;16.4/19.6;249.3/44.0;44231;44289;44445;44441;44200;97.3/96.9;103.5/101.1;20.7/18.2;44283;148.5;97.3;11;33.5;9.7/17.3;6;290;100.0/100.0;97.5/98.5;-99;;
Madagascar;EasternAfrica;587295;25571;44.0;99.5;9739;44199;401.8;44463;44304;56.7;74.2;44295;44332;44257;83.8/89.0;119;120;2256;2965;-709;-622;44379;35.1;44381;44290;66.0/63.0;41.0/4.8;32.1/0.1;0.1;36.8;3.0;0.1;44198;148.9/148.9;38.1/38.8;4.6/5.0;44246;46.0;44231;1324;44337;3.1/0.1;129;7;81.6/35.3;18.0/8.7;44323;;
Malawi;EasternAfrica;118484;18622;197.5;98.2;6420;3.0;372.9;44222;44363;57.3;69.9;44412;44311;44414;81.3/81.0;149;150;875;1649;-774;-710;44441;44271;44411;44443;63.1/58.2;44.0/4.3;215.2/1.2;44402;66.5;44297;...;44352;147.0/144.0;41.0/45.8;0.6/1.0;44393;35.3;44264;176;33.6;1.3/0.1;89;6;95.7/89.1;47.3/39.8;16.53;;
Malaysia;South-easternAsia;330323;31624;96.3;106.7;296284;5.0;9768.4;44355;39.6;51.8;44419;44282;60.9;44258;49.3/77.8;122;130;189414;168375;21039;8960;44409;74.7;44379;44198;77.1/72.6;24.3/9.7;2514.2/8.3;238.6;44322;44231;44256;5.0;101.9/101.7;80.7/74.6;31.8/20.8;44296;143.9;71.1;1272;67.5;242.8/8.1;3738;118;100.0/93.0;96.1/95.9;0.00;;
Maldives;SouthernAsia;300;436;1454.4;131.8;3435;44410;9446.5;44199;22.0;74.9;44384;44430;69.5;44441;57.8/79.6;65;65;140;2128;-1988;-326;44410;45.5;44320;44229;77.4/75.4;23.4/6.3;94.1/25.9;-99;9.0;44390;...;44232;98.6/97.3;.../...;20.3/12.4;44444;206.7;54.5;75;44258;1.3/3.7;0;54;99.5/97.9;97.5/98.3;0.95;;
Mali;WesternAfrica;1240192;18542;44242;100.2;13100;44354;744.3;39.9;44366;40.5;56.7;44391;44375;44204;50.5/82.3;154;157;3030;2510;520;-676;44441;39.9;44201;44292;56.9/55.6;47.7/4.0;363.1/2.1;90.8;78.5;7.0;...;44380;72.1/79.3;36.8/45.6;4.1/9.6;44416;139.6;44265;42;44442;1.4/0.1;55;4;96.5/64.1;37.5/16.1;16681;;
Malta;SouthernEurope;315;431;1346.4;100.9;9747;44233;23280.7;44287;15.0;83.6;44228;44459;77.9;44291;39.4/65.7;96;96;4039;7182;-3143;539;0.5;95.4;0.5;44287;82.0/78.6;14.4/26.1;41.4/9.9;44204;44412;44386;44442;44415;104.7/102.2;98.1/91.7;55.2/40.3;44328;129.3;76.2;39;44197;2.3/5.6;1;78;100.0/100.0;100.0/100.0;-99;;
Marshall Islands;Micronesia;181;53;295.2;104.5;183;0.6;3452.6;44302;44237;73.3;...;...;...;44381;29.0/53.3;115;115;27;86;-58;-5;0.2;72.7;0.6;44200;72.5/71.3;39.0/5.5;3.3/6.2;-99;44311;44213;0.5;...;93.3/93.5;80.4/73.1;41.2/44.6;44205;29.2;44274;101;70.2;0.1/1.9;0;27;93.5/97.6;84.5/56.2;44524;;
Martinique;Caribbean;1128;385;363.1;83.5;-99;-99;-99;-99;-99;-99;44442;44419;69.0;44430;52.6/53.8;78;78;-99;-99;-99;-99;-0.5;88.9;0.2;2.0;84.4/77.8;17.7/25.7;61.7/15.6;-99;44292;-99;-99;-99;-99;-99;-99;-99;-99;-99;48;45.8;2.3/5.8;1;79;100.0/99.8;94.0/72.7;-99;;
Mauritania;WesternAfrica;1030700;4420;44259;101.6;5023;44228;1235.0;44459;41.7;37.4;40.3;44325;50.2;12.0;29.3/65.5;125;125;1623;2174;-551;-1066;44441;59.9;44319;44443;64.1/61.2;39.9/5.0;138.2/3.4;69.0;68.0;44411;...;44441;105.0/100.0;29.5/31.7;3.6/7.1;44252;89.3;44242;86;0.2;2.7/0.7;31;13;58.4/57.1;57.5/13.8;44232;;
Mauritius;EasternAfrica;1969;1265;623.2;97.9;11511;44319;9040.9;44441;44399;74.4;44262;44252;67.5;44354;46.9/74.3;96;96;2194;4655;-2461;-566;0.2;39.7;-0.1;44317;77.7/70.7;18.4/16.6;28.6/2.2;-99;12.0;44412;...;44443;103.9/102.2;97.9/93.6;41.7/31.7;44358;140.6;50.1;257;19.0;4.2/3.3;10;51;99.9/99.8;93.9/92.6;0.67;;
Mayotte;EasternAfrica;-99;253;674.8;96.7;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;...;...;...;-99;44410;47.0;44440;44200;82.9/76.0;40.6/5.8;77.0/32.1;-99;44231;-99;-99;-99;-99;-99;-99;-99;...;...;88;44212;-99;0;19;-99;-99;-99;;
Mexico;CentralAmerica;1964375;129163;66.4;99.2;1140724;44318;8980.9;44350;36.0;60.4;44299;44252;61.3;44200;45.5/79.5;120;120;373883;387064;-13181;-33216;44287;79.2;44348;44257;78.9/74.0;26.7/10.1;1193.2/0.9;44444;44426;44261;44198;44260;103.2/103.6;93.5/87.7;30.0/29.9;42.6;85.3;57.4;1162;34.0;480.3/3.8;8514;62;97.2/92.1;88.0/74.5;0.03;;
Micronesia (Federated States of);Micronesia;702;106;150.8;105.1;315;44380;3015.2;44435;44322;65.8;-99;-99;-99;-99;-99;99;99;6;40;-34;22;0.2;44308;0.3;44258;69.8/67.7;33.1/8.0;2.8/2.6;~0.0;33.2;44390;...;44328;95.7/95.4;.../...;-99;0.0;44285;44347;167;91.8;0.2/1.4;0;22;94.8/87.4;85.1/49.0;34.11;;
Monaco;WesternEurope;2;39;25969.8;94.7;6258;44291;165870.6;-99;44299;86.6;-99;-99;-99;...;.../...;-99;-99;-99;-99;-99;-99;0.6;100.0;0.8;-99;-99;.../...;21.0/55.8;~0.0;-99;44259;44353;1.0;-99;-99;-99;44428;88.8;93.4;21;-99;-99;-99;-99;100.0/...;100.0/...;-99;;
Mongolia;EasternAsia;1564116;3076;2.0;97.9;11758;44257;3973.4;44422;34.1;51.1;44314;44397;51.0;44261;56.8/69.3;147;149;4917;3358;1559;-948;44440;72.0;44410;44410;72.7/64.5;29.7/6.6;17.6/0.6;~0.0;44430;44381;44441;44351;100.0/101.8;92.4/90.5;79.7/57.7;44213;105.0;44307;41;44204;20.8/7.2;677;84;66.4/59.2;66.4/42.6;44228;;
Montenegro;SouthernEurope;13812;629;46.8;97.4;4020;44320;6424.1;44417;44333;72.6;44323;44272;75.2;44303;41.8/55.9;66;66;354;2263;-1908;-533;0.1;64.0;0.3;44378;78.8/74.0;18.1/21.3;82.5/13.2;16.0;44200;44292;44257;-99;93.3/95.2;90.3/90.4;.../...;44339;162.2;64.6;98;61.5;2.2/3.5;29;64;100.0/99.2;98.0/92.2;16103;;
Montserrat;Caribbean;103;5;51.8;106.0;59;0.4;11553.4;44287;44389;85.9;-99;-99;-99;44352;.../...;103;103;4;36;-32;-27;0.7;9.0;0.7;...;-99;19.7/19.6;1.4/26.4;...;-99;-99;-99;...;.../...;.../...;-99;-99;96.6;54.6;55;25.0;~0.0/9.6;-99;133;99.0/99.0;.../...;-99;;
Morocco;NorthernAfrica;446550;35740;80.1;98.1;100359;44290;2919.3;44390;44467;57.4;32.6;44397;46.8;44296;25.6/74.5;130;130;22858;41696;-18838;-2161;44287;60.2;44257;44349;76.0/73.7;27.4/10.7;88.5/0.3;44292;44224;44444;0.6;...;111.6/117.7;63.5/74.4;27.5/28.7;44336;126.9;57.1;207;44359;59.9/1.7;78;23;98.7/65.3;84.1/65.5;18629;;
Mozambique;EasternAfrica;799380;29669;37.7;95.5;14806;44353;529.2;44371;21.0;54.4;75.0;44200;21.0;44220;82.2/75.6;137;137;3352;5295;-1943;-5833;44441;32.2;44258;44291;58.1/54.0;44.8/4.8;222.9/0.8;24.0;67.3;7.0;0.1;44322;101.2/110.4;31.1/33.8;5.4/7.4;39.6;74.2;9.0;309;48.5;8.4/0.3;779;20;80.6/37.0;42.4/10.1;20059;;
Myanmar;South-easternAsia;676577;53371;81.7;95.5;62601;44262;1161.5;44403;34.5;38.7;44370;44361;61.7;0.8;74.7/80.8;130;128;11673;15696;-4023;-3921;0.9;34.1;44318;44257;68.3/63.7;26.8/9.4;73.3/0.1;1392.1;45.0;44257;0.6;-99;98.3/101.0;52.0/50.6;14.9/12.1;44237;76.7;44429;321;45.3;21.6/0.4;1078;15;92.7/74.4;84.3/77.1;44958;;
Namibia;SouthernAfrica;824116;2534;44199;94.7;11491;44260;4673.6;44353;44377;62.8;44225;44361;56.3;44463;56.4/64.3;88;89;4816;6721;-1905;-1700;44229;46.7;44231;44350;64.3/59.1;36.7/5.5;93.9/3.8;44412;36.4;-99;...;...;109.5/113.3;.../...;.../...;41.3;102.1;44277;115;44324;3.8/1.6;19;31;98.2/84.6;54.5/16.8;45292;;
Nauru;Micronesia;21;11;568.0;101.9;189;44395;18469.2;3.0;59.9;37.1;-99;-99;-99;23.0;49.3/78.9;112;112;-99;-99;-99;-99;44257;100.0;0.2;44442;64.8/57.8;39.5/4.0;3.2/31.1;0.8;18.0;44258;...;-99;100.4/109.5;83.4/81.9;-99;44326;67.8;54.0;82;0.0;~0.0/4.8;0;63;96.5/...;65.6/...;-99;;
Nepal;SouthernAsia;147181;29305;204.4;94.3;20658;44379;724.5;44439;44453;53.3;72.6;44449;44332;3.0;79.7/86.7;139;139;703;5249;-4547;2447;44228;44365;44230;44257;70.4/67.4;30.9/8.8;518.3/1.8;44407;32.8;44413;...;44380;141.2/130.7;72.2/67.1;15.1/14.8;44376;96.8;44364;104;44311;8.0/0.3;451;19;90.9/91.8;56.0/43.5;26785;;
Netherlands;WesternEurope;41542;17036;505.2;99.0;750318;2.0;44332.1;44409;20.0;78.2;44229;44454;81.9;44352;57.3/69.7;115;115;511714;420969;90745;65129;0.3;90.5;1.0;44378;83.1/79.4;16.4/25.0;1979.5/11.7;116.3;44319;44449;44289;44321;104.4/105.0;136.3/134.7;82.5/74.7;38.0;123.5;93.1;40;44207;167.3/9.9;2447;178;100.0/100.0;97.5/99.9;-99;;
New Caledonia;Melanesia;18575;276;44211;101.5;8937;44230;33965.7;44287;26.0;72.6;3.0;44465;70.1;44211;45.5/66.9;102;103;1344;2422;-1079;-1469;44287;70.2;44229;44229;79.3/73.7;22.5/14.2;64.3/24.4;-99;13.0;-99;-99;-99;-99;-99;-99;-99;93.5;74.0;526;45.9;4.3/16.5;1;215;98.5/98.5;100.0/100.0;-99;;
New Zealand;Oceania;268107;4706;44456;96.7;173417;44199;38294.3;44322;23.0;70.6;44444;44307;72.6;44321;62.1/72.8;116;118;33833;36423;-2589;-5501;44197;86.3;1.0;2.0;83.1/79.5;19.8/20.8;1039.7/23.0;44378;44290;11.0;44441;44292;99.1/99.6;119.9/113.4;96.7/71.6;34.2;121.8;88.2;199;38.6;34.7/7.7;783;207;100.0/100.0;-99;-99;;
Nicaragua;CentralAmerica;130373;6218;51.7;97.2;12693;44443;2086.9;44426;44434;54.4;44220;44330;61.4;44202;49.6/80.6;130;130;2225;5927;-3701;-1045;44228;58.8;2.0;44257;77.5/71.4;29.0/8.4;40.3/0.7;0.6;20.0;9.0;0.9;...;.../...;.../...;.../...;45.7;116.1;44396;144;44464;4.9/0.8;91;26;99.3/69.4;76.5/55.7;24898;;
Niger;WesternAfrica;1267000;21477;17.0;100.6;7143;44350;359.0;39.6;44215;41.3;62.3;44300;44278;44379;40.4/89.2;148;148;927;1861;-933;-1150;44411;44395;44201;44293;59.5/57.6;50.2/4.2;189.3/1.0;312.5;65.8;6.0;...;44383;66.8/77.9;17.2/24.2;0.9/2.6;17.0;46.5;44229;34;0.9;2.1/0.1;101;5;100.0/48.6;37.9/4.6;46357;;
Nigeria;WesternAfrica;923768;190886;209.6;102.7;494583;44379;2714.5;44459;44306;58.8;44466;44391;57.4;44291;48.5/64.3;116;117;104084;36533;67551;-15763;44379;47.8;44381;44382;52.6/51.2;44.0/4.5;1199.1/0.7;2437.5;76.3;44380;...;-99;92.8/94.5;53.5/57.8;8.3/11.8;44352;82.2;47.4;361;44204;96.3/0.6;10851;32;80.8/57.3;32.8/25.4;0.52;;
Niue;Polynesia;260;2;44233;100.0;-99;-99;-99;-99;-99;-99;...;...;...;...;.../...;101;101;-99;-99;-99;-99;-0.1;42.5;-0.9;44349;76.3/70.1;22.8/20.1;0.6/34.6;-99;44204;44293;...;-99;120.2/147.2;114.1/104.1;-99;-99;...;79.6;52;70.0;~0.0/5.7;0;62;98.4/98.6;100.0/100.0;-99;;
Northern Mariana Islands;Micronesia;457;55;119.9;107.1;-99;-99;-99;-99;-99;-99;...;...;...;...;.../...;-99;-99;1735;4553;-2818;-99;0.1;89.2;0.4;44348;77.9/74.9;23.5/10.0;21.6/39.3;-99;44292;-99;-99;-99;-99;-99;-99;-99;...;-99;102;64.5;-99;-99;-99;97.5/97.5;79.7/79.7;-99;;
Norway;NorthernEurope;386194;5305;44330;101.8;386578;44348;74185.5;44409;34.6;63.5;44229;44247;77.6;44201;61.1/68.3;103;104;89120;72473;16647;33746;44228;80.5;44256;44409;83.6/79.5;17.8/22.3;741.8/14.2;73.2;44288;44386;44290;44293;100.3/100.5;111.1/114.7;91.5/62.8;39.6;113.6;96.8;64;33.2;47.6/9.2;8204;233;100.0/100.0;98.0/98.3;-99;;
Oman;WesternAsia;309500;4636;15.0;192.8;69832;44382;15550.8;44317;51.1;47.3;5.0;39.6;55.4;44425;30.1/85.4;134;134;24455;23260;1195;-10807;44322;77.6;44324;44441;78.7/74.5;21.8/4.0;1845.0/41.1;0.6;44356;44350;44317;5.0;111.2/107.4;107.9/101.0;-99;44228;159.9;74.2;99;~0.0;61.2/14.4;3101;239;95.5/86.1;97.3/94.7;...;;
Pakistan;SouthernAsia;796095;197016;255.6;105.6;266458;44321;1410.4;44341;19.0;55.5;42.1;44427;38.1;44444;24.8/82.5;135;138;20534;46998;-26464;-1603;44198;38.8;44410;44380;66.8/65.0;34.8/6.7;3629.0/1.9;2739.4;69.8;44349;0.8;44349;85.2/99.7;39.2/49.5;9.2/10.6;44367;66.9;18.0;140;2.0;166.3/0.9;2202;17;93.9/89.9;83.1/51.1;11689;;
Palau;Micronesia;459;22;47.2;113.3;258;44382;12122.5;44411;8.0;88.2;...;...;...;...;.../...;-99;-99;7;154;-147;-24;0.8;87.1;44378;44229;77.8/68.1;20.3/13.1;5.7/26.6;~0.0;44268;9.0;...;...;99.0/100.3;95.2/96.2;76.1/49.1;44328;111.5;-99;182;87.6;0.3/12.4;-99;172;97.0/86.0;100.0/100.0;44321;;
Panama;CentralAmerica;75320;4099;55.1;100.4;52132;44413;13268.1;44410;44223;70.0;44330;44366;65.9;44233;50.5/80.4;117;118;636;11697;-11061;-3377;44378;66.6;44198;44349;80.5/74.3;27.4/11.4;184.7/4.7;44337;44242;8.0;44348;44230;100.9/103.5;78.3/72.9;46.5/31.2;44273;174.2;51.2;383;62.3;8.8/2.3;31;35;97.7/88.6;83.5/58.0;0.02;;
Papua New Guinea;Melanesia;462840;8251;44245;103.5;21315;44353;2797.6;44216;44255;51.8;68.3;44382;26.0;44318;69.6/71.2;84;83;8760;8874;-114;5326;44229;13.0;44198;44411;67.4/62.6;35.9/6.1;25.8/0.3;44386;49.0;44259;...;-99;109.3/119.8;34.6/45.8;-99;44379;46.6;44446;493;74.1;6.3/0.8;114;22;88.0/32.8;56.4/13.3;18688;;
Paraguay;SouthAmerica;406752;6811;44213;102.9;27714;44199;4174.4;19.0;44345;51.6;44366;44335;61.0;44321;58.3/84.7;160;166;8494;9753;-1259;-462;44256;59.7;44198;44349;74.9/70.7;29.4/9.4;156.5/2.4;0.2;44436;44417;44256;5.0;104.3/107.6;79.1/74.2;.../...;44421;105.4;44.4;59;39.4;5.7/0.9;325;38;100.0/94.9;95.5/78.4;0.22;;
Peru;SouthAmerica;1285216;32166;44221;99.8;190428;44258;6069.1;44354;33.3;59.2;44310;44272;58.3;44260;66.1/82.8;145;148;36040;36185;-145;-9210;44256;78.6;44378;44318;76.8/71.5;27.4/10.4;90.9/0.3;44318;44365;44321;44197;4.0;101.7/101.7;95.8/95.7;.../...;44404;109.9;40.9;685;57.9;61.7/2.0;1020;30;91.4/69.2;82.5/53.2;0.18;;
Philippines;South-easternAsia;300000;104918;351.9;101.3;292449;44444;2904.2;44326;44286;58.2;44404;44271;56.1;44444;50.8/78.9;122;120;56313;85909;-29596;7694;44348;44.4;44256;3.0;72.1/65.4;31.7/7.6;211.9/0.2;240.2;44249;44381;...;...;116.9/116.8;92.7/84.4;40.3/31.4;44345;118.1;40.7;783;44253;105.7/1.1;991;19;93.7/90.3;77.9/70.8;0.15;;
Poland;EasternEurope;312679;38171;124.6;93.4;477066;44442;12355.5;44349;34.1;63.3;44449;44376;59.5;44260;49.1/64.9;113;113;196455;188518;7937;-2932;-~0.0;60.5;-0.1;44256;81.0/72.9;14.8/24.0;619.4/1.6;44400;44320;44292;44257;44443;100.7/100.5;106.1/110.0;82.6/54.2;28.0;148.7;68.0;58;44407;285.7/7.4;2819;102;99.3/96.9;97.5/96.7;-99;;
Portugal;SouthernEurope;92226;10330;112.8;89.8;199122;44348;19239.2;44257;44277;75.4;8.0;44431;68.2;44326;53.3/63.7;104;104;55658;67580;-11922;842;-0.4;63.5;1.0;44256;83.5/77.3;13.6/27.9;837.3/8.1;44409;44441;44325;44290;44201;105.3/109.4;117.3/121.0;65.7/58.0;34.8;110.4;68.6;281;34.9;45.1/4.3;250;84;100.0/100.0;99.6/99.8;-99;;
Puerto Rico;Caribbean;8868;3663;413.0;92.6;102906;-~0.0;27939.0;0.8;50.0;49.1;2.0;44333;80.5;44420;34.4/51.7;110;111;-99;-99;-99;-99;-0.2;93.6;-0.2;44317;83.2/75.2;17.9/20.4;275.0/7.5;-99;44261;-99;-99;44292;90.4/89.1;83.9/78.8;98.8/70.1;-99;87.1;79.5;126;55.5;-99;1;16;.../...;99.3/99.3;-99;;
Qatar;WesternAsia;11607;2639;227.3;301.2;164641;44350;73653.4;0.2;56.4;43.5;44228;54.1;44.7;0.3;53.1/93.6;154;154;57254;32058;25196;13751;44353;99.2;6.0;2.0;79.4/76.8;13.9/2.8;1687.6/75.5;44317;44234;44229;2.0;44350;103.6/102.4;103.6/82.0;43.9/6.3;0.0;153.6;92.9;39;0.0;107.9/49.7;9166;846;100.0/100.0;98.0/98.0;-99;;
Republic of Korea;EasternAsia;100284;50982;524.3;100.2;1377873;44349;27396.7;44257;38.0;59.7;5.0;44401;70.3;44350;50.2/71.9;104;104;495418;406182;89236;105871;0.4;82.5;0.7;44228;84.4/77.9;13.5/20.1;1327.3/2.6;8.0;3.0;44293;44229;44201;98.7/99.3;98.4/99.3;80.2/104.8;17.0;118.5;89.9;111;63.5;587.2/11.7;2023;223;99.7/87.9;100.0/100.0;-99;;
Republic of Moldova;EasternEurope;33846;4051;123.3;92.2;6475;-0.7;1591.4;44299;44428;65.8;44436;44469;40.3;5.0;39.1/46.5;109;109;2045;4020;-1975;-415;-0.1;45.0;-0.7;44256;75.2/66.7;15.7/17.6;142.9/3.5;44321;44269;44265;44318;44323;91.9/92.9;86.5/85.8;47.4/35.3;44430;108.0;49.8;35;44267;4.9/1.2;15;23;96.9/81.4;87.8/67.1;17989;;
Romania;EasternEurope;238391;19679;85.5;94.0;177956;44380;9120.7;44412;34.9;60.3;44341;44404;46.8;44203;47.3/64.5;100;100;63581;74605;-11024;-2096;-0.6;54.6;~0.0;44317;78.4/71.4;15.3/24.9;226.9/1.2;44230;44385;44352;44379;44199;89.0/90.5;92.0/92.5;59.0/47.8;44397;107.1;55.8;104;44345;70.0/3.6;1109;68;100.0/100.0;92.2/63.3;-99;;
Russian Federation;EasternEurope;17098246;143990;44416;86.8;1326016;-3.7;9243.3;44381;44439;63.5;44414;44223;66.1;44413;56.3/71.3;120;120;285491;182257;103234;69000;0.1;74.0;-0.1;44378;75.9/64.7;17.6/21.1;11643.3/8.1;418.4;44263;44203;44258;44442;100.9/100.1;103.4/105.5;88.3/72.9;44423;160.0;73.4;235;49.8;1705.3/11.9;54829;208;98.9/91.2;77.0/58.7;-99;;
Rwanda;EasternAfrica;26338;12208;494.9;96.2;8096;44445;697.3;34.6;44211;50.3;75.0;44234;44425;44288;86.1/83.3;139;139;622;1778;-1157;-1099;44318;44436;44292;44231;67.1/63.1;40.1/4.9;441.5/3.8;155.1;44.0;44323;...;44350;133.4/131.7;38.2/35.2;6.9/9.1;61.3;70.5;18.0;62;44246;0.8/0.1;84;8;86.6/71.9;58.5/62.9;13.67;;
Saint Helena;WesternAfrica;308;4;44296;-99;-99;-99;-99;-99;-99;-99;...;...;...;...;-99;-99;-99;~0;48;-48;-99;-0.7;39.4;-0.6;-99;-99;-99;0.6/15.2;-99;-99;-99;-99;-99;-99;-99;-99;-99;44407;37.6;100;44201;~0.0/3.1;0;41;-99;-99;-99;;
Saint Kitts and Nevis;Caribbean;261;55;212.9;97.0;876;44411;15771.9;44228;44224;70.7;...;...;...;...;.../...;39;39;51;332;-280;-63;44197;32.0;44256;-99;-99;.../...;7.4/13.4;~0.0;-99;44201;...;44410;83.4/81.7;92.8/88.0;107.2/52.6;44268;131.8;75.7;52;42.3;0.2/4.2;0;59;98.3/98.3;.../...;34029;;
Saint Lucia;Caribbean;539;179;293.2;95.9;1450;44440;7839.4;44379;44451;84.4;44422;44364;67.6;19.0;63.1/76.6;69;69;120;654;-535;-100;0.5;44334;0.9;44317;77.6/72.2;18.9/13.7;12.8/6.9;~0.0;44449;44383;...;44443;.../...;84.8/85.5;22.0/11.6;44393;101.5;52.4;62;33.4;0.4/2.2;0;33;99.5/95.6;84.7/91.9;0.97;;
Saint Pierre and Miquelon;NorthernAmerica;242;6;44343;98.2;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;112;112;653;2629;-1976;-99;~0.0;90.4;0.1;-99;-99;.../...;1.0/15.7;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;12;44267;0.1/12.2;0;174;-99;-99;-99;;
Saint Vincent and the Grenadines;Caribbean;389;110;281.8;101.7;738;44348;6739.2;44323;44244;75.3;44218;44212;61.8;44215;56.4/76.9;115;115;47;335;-288;-210;~0.0;50.6;0.7;2.0;74.9/70.7;23.8/11.7;4.6/4.2;-99;44332;44355;...;...;103.2/105.8;105.0/107.9;-99;13.0;103.6;51.8;58;69.2;0.2/1.9;0;29;95.1/95.1;.../...;29221;;
Samoa;Polynesia;2842;196;69.4;106.6;774;44410;4006.0;44264;44251;66.6;44260;44422;79.8;44322;23.3/58.2;107;107;56;350;-294;-44;0.8;44215;-0.2;44231;77.4/71.1;36.6/8.5;4.9/2.6;~0.0;18.0;44234;...;...;106.7/106.7;89.5/80.7;.../...;10.0;58.5;44311;93;60.4;0.2/1.0;2;24;97.5/99.3;93.3/91.1;27729;;
San Marino;SouthernEurope;61;33;556.7;94.9;1565;1.0;49240.2;0.1;33.3;66.6;...;...;...;44353;.../...;-99;-99;-99;-99;-99;-99;44228;94.2;0.6;...;86.4/81.7;15.0/24.1;4.7/14.8;-99;-99;44202;44292;44288;92.6/93.9;95.9/93.5;69.9/50.5;44403;115.2;49.6;1;0.0;-99;-99;-99;-99;-99;-99;;
Sao Tome and Principe;MiddleAfrica;964;204;212.8;99.2;334;4.0;1752.8;44267;44391;73.0;44249;44329;64.3;44360;45.4/76.2;119;119;10;139;-129;-69;44229;65.1;44350;44381;68.2/64.0;42.8/4.3;2.4/1.3;-99;43.8;44204;...;44411;112.2/117.7;91.7/80.8;13.6/13.2;44245;65.1;44433;94;55.8;0.1/0.6;1;14;98.9/93.6;40.8/23.3;14580;;
Saudi Arabia;WesternAsia;2206714;32938;44270;132.9;653219;44289;20710.6;44257;46.0;51.8;44444;44399;71.4;44321;20.0/78.5;96;96;182329;135904;46426;-56724;44410;83.1;44198;44379;75.6/72.7;25.2/5.6;10185.9/32.3;70.2;13.0;44381;44349;...;111.1/107.9;93.7/122.6;61.8/64.4;44458;176.6;69.6;131;0.5;601.0/19.5;25904;287;97.0/97.0;100.0/100.0;...;;
Senegal;WesternAfrica;196712;15851;82.3;96.6;13633;44322;901.1;44331;44220;60.4;51.4;44397;44466;44264;45.3/70.5;126;127;2640;5478;-2838;-1348;3.0;43.7;44350;5.0;67.5/63.8;42.9/4.7;263.2/1.7;44364;43.9;44381;...;44293;86.9/77.6;49.1/50.2;7.8/12.9;42.7;100.0;44398;123;43.2;8.9/0.6;77;11;92.9/67.3;65.4/33.8;18050;;
Serbia;SouthernEurope;88499;8791;100.5;95.6;37160;0.8;5238.6;44235;31.4;60.5;44305;44340;56.1;44331;43.4/59.9;102;102;14852;19231;-4379;-1751;-0.4;55.6;-0.3;44348;77.5/71.8;16.5/24.5;807.4/9.1;254.1;44417;44296;44318;44231;101.2/101.5;97.4/96.0;66.9/50.2;34.4;120.5;65.3;71;44227;37.7/4.3;393;62;99.4/98.9;98.2/94.2;0.90;;
Seychelles;EasternAfrica;457;95;206.0;97.2;1363;44414;14133.2;44379;44360;83.8;44350;44456;78.2;44200;61.9/68.3;105;109;335;833;-498;-256;0.5;53.9;44197;44288;77.9/68.7;22.2/13.3;12.8/13.3;-99;44237;44289;1.0;44350;103.6/101.1;84.5/78.8;19.6/9.3;44248;158.1;58.1;439;88.4;0.5/5.2;0;72;95.7/95.7;98.4/98.4;0.50;;
