country;Region;Surface area (km2);Population in thousands (2017);Population density (per km2, 2017);Sex ratio (m per 100 f, 2017);GDP: Gross domestic product (million current US$);GDP growth rate (annual %, const. 2005 prices);GDP per capita (current US$);Economy: Agriculture (% of GVA);Economy: Industry (% of GVA);Economy: Services and other activity (% of GVA);Employment: Agriculture (% of employed);Employment: Industry (% of employed);Employment: Services (% of employed);Unemployment (% of labour force);Labour force participation (female/male pop. %);Agricultural production index (2004-2006=100);Food production index (2004-2006=100);International trade: Exports (million US$);International trade: Imports (million US$);International trade: Balance (million US$);Balance of payments, current account (million US$);Population growth rate (average annual %);Urban population (% of total population);Urban population growth rate (average annual %);Fertility rate, total (live births per woman);Life expectancy at birth (females/males, years);Population age distribution (0-14 / 60+ years, %);International migrant stock (000/% of total pop.);Refugees and others of concern to UNHCR (in thousands);Infant mortality rate (per 1000 live births;Health: Total expenditure (% of GDP);Health: Physicians (per 1000 pop.);Education: Government expenditure (% of GDP);Education: Primary gross enrol. ratio (f/m per 100 pop.);Education: Secondary gross enrol. ratio (f/m per 100 pop.);Education: Tertiary gross enrol. ratio (f/m per 100 pop.);Seats held by women in national parliaments %;Mobile-cellular subscriptions (per 100 inhabitants);Individuals using the Internet (per 100 inhabitants);Threatened species (number);Forested area (% of land area);CO2 emission estimates (million tons/tons per capita);Energy production, primary (Petajoules);Energy supply per capita (Gigajoules);Pop. using improved drinking water (urban/rural, %);Pop. using improved sanitation facilities (urban/rural, %);Net Official Development Assist. received (% of GNI);;
Chile;SouthAmerica;756102;18055;44279;98.2;240796;44257;13416.2;44442;32.8;63.3;44356;44461;67.5;44414;50.7/74.7;111;111;59884;58804;1080;-4761;0.9;89.5;44197;44409;81.3/76.2;20.3/16.0;469.4/2.6;44380;44293;44415;...;44443;100.0/103.3;101.3/100.0;94.4/83.0;44423;129.5;64.3;197;44309;82.6/4.7;540;85;99.7/93.3;100.0/90.9;0.02;;
China; Hong Kong SAR;EasternAsia;1106;7365;7014.2;85.1;309236;44288;42431.0;0.1;44234;92.7;0.2;44453;84.9;44319;52.6/67.8;34;34;516588;547124;-30536;10101;0.6;100.0;0.7;44228;86.4/80.5;11.5/23.5;2838.7/38.9;44318;44348;-99;-99;44258;-99;98.8/102.8;73.7/63.5;-99;228.8;84.9;64;-99;46.2/6.4;-99;83;-99;-99;;-99
China; Macao SAR;EasternAsia;30;623;20821.6;92.3;46178;-20.3;78586.4;-99;44353;93.4;0.3;44394;82.1;44230;65.6/76.4;86;86;1257;8924;-7668;11557;44257;100.0;44409;44228;86.2/80.3;13.3/16.1;342.7/58.3;~0.0;3.0;-99;-99;2.0;99.7/101.1;95.9/97.0;86.3/65.2;-99;324.4;77.6;11;-99;1.3/2.2;2;62;-99;-99;;-99
China;EasternAsia;9600000;1409517;150.1;106.3;11158457;44445;8109.1;44236;41.1;49.7;27.0;44462;49.1;44351;63.0/77.7;132;133;2118981;1588696;530285;330602;0.5;55.6;3.0;44348;77.2/74.2;17.7/16.2;978.0/0.1;301.7;44358;44321;44317;-99;104.3/104.0;95.6/93.2;47.3/39.9;44400;93.2;50.3;1080;22.0;10291.9/7.5;101394;87;97.5/93.0;86.6/63.7;0.00;;
Colombia;SouthAmerica;1141748;49066;44.2;96.8;292080;44199;6056.1;44414;34.0;59.2;44329;44363;69.9;44326;58.0/79.8;114;115;31045;44831;-13786;-18922;1.0;76.4;44378;44440;77.4/70.2;23.5/11.6;133.1/0.3;7127.0;44456;44234;...;44320;111.6/115.4;101.5/94.8;59.9/51.5;44395;115.7;55.9;835;52.8;84.1/1.8;5380;31;96.8/73.8;85.2/67.9;0.47;;
Comoros;EasternAfrica;2235;814;437.4;101.8;1079;44412;1368.9;44407;4.0;65.3;62.0;44232;32.8;20.0;35.7/79.5;107;107;20;193;-173;...;44288;44283;44379;44351;64.5/61.2;39.8/4.9;12.6/1.6;...;58.1;44383;...;44259;99.5/106.8;62.4/58.4;8.0/9.8;44202;54.8;44323;114;44216;0.2/0.2;3;6;92.6/89.1;48.3/30.9;44328;;
Congo;MiddleAfrica;342000;5261;44301;100.1;8493;44228;1838.1;44381;70.0;44280;40.7;44433;33.5;44327;67.1/72.6;106;106;2540;9793;-7253;...;44349;65.4;44230;44443;64.1/61.0;42.3/5.2;393.0/8.5;54.9;46.5;44232;...;...;114.8/107.0;50.6/58.4;8.3/11.1;44293;111.7;44354;134;65.4;3.1/0.7;648;24;95.8/40.0;20.0/5.6;44317;;
Cook Islands;Polynesia;236;17;72.4;97.4;294;44321;14118.7;44204;9.0;82.9;44259;44388;84.0;44235;65.4/76.6;91;91;14;98;-84;-99;-1.2;74.5;0.9;44349;79.6/71.7;26.9/14.2;4.2/19.9;-99;44350;44289;...;44442;99.3/106.0;90.1/83.0;49.5/40.1;-99;-99;-99;75;62.9;0.1/3.4;-99;48;99.9/99.9;97.6/97.6;-99;;
Costa Rica;CentralAmerica;51100;4906;96.1;100.1;52958;44380;11015.0;44201;44337;73.4;44358;44215;69.3;44355;46.9/76.5;127;129;9908;15322;-5414;-2493;44197;76.8;44379;44440;81.7/76.7;21.6/13.6;421.7/8.8;44206;44264;44264;44228;44234;109.5/110.1;125.6/120.7;60.9/46.6;35.1;150.7;59.8;340;53.4;7.8/1.6;110;44;99.6/91.9;95.2/92.3;0.22;;
Croatia;SouthernEurope;56594;4189;74.9;93.1;48676;44348;11479.4;44200;44373;69.3;44236;44434;64.0;44388;46.3/58.4;91;91;13648;21830;-8182;2492;-0.4;59.0;0.1;44317;80.4/73.6;14.7/26.8;576.9/13.6;44331;44442;44415;44199;44351;98.1/97.8;100.6/95.9;79.8/58.8;44458;103.8;69.8;176;34.3;16.8/4.0;182;79;99.6/99.7;97.8/95.8;...;;
Cuba;Caribbean;109884;11485;107.9;100.1;87206;44290;7656.6;5.0;44336;74.5;44451;44388;75.3;3.0;42.1/68.3;100;101;18000;4911;13089;-99;0.2;77.1;0.1;44378;81.3/77.1;16.0/20.1;13.3/0.1;0.4;44321;44207;44323;...;94.9/100.1;102.7/98.2;43.0/30.1;48.9;44376;44227;339;30.2;34.8/3.0;212;47;96.4/89.8;94.4/89.1;...;;
Cyprus;WesternAsia;9251;1180;127.7;100.2;19561;44378;21941.9;44257;44357;87.2;44200;44393;79.2;44265;57.8/70.4;80;80;1920;6604;-4684;-576;0.9;66.9;0.9;44287;82.2/77.7;16.8/18.5;196.2/16.8;44243;44231;44293;44318;44202;99.3/99.3;99.4/100.1;69.4/51.1;44456;95.4;71.7;72;44395;6.1/5.2;5;72;100.0/100.0;100.0/100.0;-99;;
Czechia;EasternEurope;78868;10618;137.5;96.7;185156;44320;17561.7;44318;37.8;59.7;44318;37.0;60.5;44442;51.3/67.8;102;102;161248;140316;20932;1683;0.1;73.0;0.3;44317;81.2/75.1;15.4/25.6;405.1/3.8;6.0;44318;44293;44380;44200;99.9/99.6;106.1/105.1;76.3/54.2;20.0;129.2;81.3;53;34.5;96.5/9.2;1221;164;100.0/100.0;99.1/99.2;-99;;
